wl,n
0.4047,1.5051867964397
0.4115,1.5042437025881
0.4183,1.5033507068647
0.4250,1.5025163510791
0.4318,1.5017125033668
0.4386,1.5009489704492
0.4454,1.5002230293009
0.4522,1.4995321873662
0.4590,1.4988741590812
0.4657,1.4982558573267
0.4725,1.497656916579
0.4793,1.497085004795
0.4861,1.496538478199
0.4929,1.4960158179215
0.4997,1.4955156185918
0.5064,1.4950434754648
0.5132,1.4945841009501
0.5200,1.4941435714605
0.5268,1.4937208426449
0.5336,1.4933149422653
0.5404,1.4929249642159
0.5471,1.4925554709922
0.5539,1.4921946526763
0.5607,1.4918473941605
0.5675,1.4915130040449
0.5743,1.491190834719
0.5811,1.4908802790307
0.5878,1.4905850944309
0.5946,1.4902959406623
0.6014,1.4900167999468
0.6082,1.4897471987123
0.6150,1.4894866910993
0.6218,1.4892348570129
0.6285,1.488994823899
0.6353,1.4887590572135
0.6421,1.4885308462197
0.6489,1.488309857092
0.6557,1.4880957741599
0.6625,1.4878882987202
0.6692,1.4876900615199
0.6760,1.4874948802221
0.6828,1.487305505177
0.6896,1.4871216951764
0.6964,1.4869432212593
0.7032,1.4867698659618
0.7099,1.4866038650953
0.7167,1.4864400692282
0.7235,1.4862808045231
0.7303,1.4861258928749
0.7371,1.4859751646501
0.7439,1.485828458198
0.7506,1.485687692658
0.7574,1.4855485207977
0.7642,1.4854129312597
0.7710,1.485280789964
0.7778,1.4851519688178
0.7845,1.4850281701926
0.7913,1.484905582922
0.7981,1.4847859658906
0.8049,1.4846692118161
0.8117,1.4845552179645
0.8185,1.4844438859117
0.8252,1.484336702637
0.8320,1.4842303792563
0.8388,1.4841264473418
0.8456,1.484024823551
0.8524,1.4839254278585
0.8592,1.4838281833912
0.8659,1.4837344010809
0.8727,1.4836412112723
0.8795,1.4835499604411
0.8863,1.4834605828017
0.8931,1.4833730150208
0.8999,1.4832871960991
0.9066,1.4832042924779
0.9134,1.483121773438
0.9202,1.4830408339616
0.9270,1.4829614212947
0.9338,1.4828834845139
0.9406,1.4828069744406
0.9473,1.4827329386548
0.9541,1.4826591217525
0.9609,1.4825865943343
0.9677,1.4825153134007
0.9745,1.4824452373273
0.9813,1.4823763258001
0.9880,1.4823095286381
0.9948,1.482242814478
1.002,1.4821733211839
1.008,1.4821162799799
1.015,1.4820506976303
1.022,1.4819861203197
1.029,1.4819225123455
1.036,1.4818598390073
1.042,1.4818068372909
1.049,1.4817458108574
1.056,1.4816856250036
1.063,1.4816262484469
1.069,1.481575975247
1.076,1.4815180213019
1.083,1.4814607914262
